Sale_Id,Date_Id,Product_Id,Store_Id,Customer_Id,Quantity_Sold,Unit_Price,Discount_Pct,Total_Amount
54,20250311,14,24,385,1,4823.13,15,4099.66
55,20240203,58,9,45,1,5200.5,20,4160.4
56,20240830,27,24,180,2,1220.37,5,2318.7
57,20250314,22,20,106,2,6438.69,10,11589.64
58,20250806,45,18,276,1,1364.28,20,1091.42
59,20241026,38,19,264,4,1729.74,5,6573.01
60,20240407,18,25,31,4,5185.3,10,18667.08
61,20240509,90,5,365,1,3873.38,0,3873.38
62,20251123,51,16,324,1,2879.69,0,2879.69
63,20250407,10,21,394,1,3316.3,0,3316.3
64,20241011,89,12,250,1,4062.25,0,4062.25
65,20240405,94,15,358,1,1460.17,0,1460.17
66,20250701,51,7,109,1,2879.69,0,2879.69
67,20241017,44,18,290,2,4747.67,10,8545.81
68,20251129,98,2,,1,850.73,10,765.66
69,20240117,16,6,1,4,4330.21,0,17320.84
70,20251206,117,5,155,1,5631.66,15,4786.91
71,20241007,12,21,43,1,1690.47,15,1436.9
72,20240618,7,13,372,1,4794.43,0,4794.43
73,20251102,12,23,,1,1690.47,0,1690.47
74,20250830,29,17,5,1,1567.62,0,1567.62
75,20240503,111,14,245,1,1506.58,0,1506.58
76,20240414,14,11,154,1,4823.13,10,4340.82
77,20240516,83,22,272,1,2689.64,5,2555.16
78,20240617,57,12,322,2,3796.83,15,6454.61
79,20250922,88,15,45,2,2796.03,0,5592.06
80,20240506,76,24,220,1,5042.37,0,5042.37
81,20241010,83,3,308,1,2689.64,5,2555.16
82,20251208,4,22,106,1,1722.15,0,1722.15
83,20250205,38,21,,2,1729.74,20,2767.58
84,20250521,50,4,327,1,3814.05,0,3814.05
85,20240113,47,11,292,1,2706.69,0,2706.69
86,20240625,98,16,395,1,850.73,5,808.19
87,20240115,34,7,,1,1322.31,10,1190.08
88,20250602,37,21,393,1,3761.37,5,3573.3
89,20240325,82,18,79,1,3179.41,0,3179.41
90,20250607,118,7,80,1,5698.72,0,5698.72
91,20251011,98,21,34,1,850.73,0,850.73
92,20240901,8,8,,1,3576.07,0,3576.07
93,20250915,8,10,337,2,3576.07,0,7152.14
94,20251225,18,23,,1,5185.3,0,5185.3
95,20250613,101,24,191,1,1131.31,10,1018.18
96,20241002,94,4,16,1,1460.17,0,1460.17
97,20250620,9,9,296,1,4835.47,0,4835.47
98,20250607,47,2,291,1,2706.69,0,2706.69
99,20240415,115,19,60,1,2419.05,0,2419.05
100,20240215,110,1,242,1,3839.63,15,3263.69
101,20240702,120,2,366,2,5078.17,0,10156.34
102,20241125,32,14,164,1,1604.88,0,1604.88
103,20250116,16,17,27,1,4330.21,10,3897.19
104,20240217,52,3,145,2,2796.94,0,5593.88
105,20240329,71,15,,1,3918.6,5,3722.67
106,20241107,95,20,189,1,3960.41,0,3960.41
107,20240719,94,18,126,1,1460.17,15,1241.14
108,20240125,30,18,356,2,3704.61,20,5927.38
109,20240102,98,22,378,2,850.73,0,1701.46
110,20250626,31,14,31,4,7243.85,0,28975.4
111,20241013,12,2,267,1,1690.47,15,1436.9
112,20250414,96,3,259,1,3006.66,10,2705.99
113,20240317,76,19,,1,5042.37,0,5042.37
114,20241025,34,11,202,2,1322.31,5,2512.39
115,20241121,58,9,104,1,5200.5,10,4680.45
116,20240421,20,4,239,1,1915.63,0,1915.63
117,20250101,99,7,238,1,4915.0,0,4915.0
118,20240610,104,22,361,1,6527.04,0,6527.04
119,20241201,19,3,183,1,3799.68,0,3799.68
120,20241102,34,6,,1,1322.31,0,1322.31
121,20250717,32,4,72,1,1604.88,0,1604.88
122,20240815,17,7,191,1,1735.19,15,1474.91
123,20240327,75,19,39,1,2266.5,0,2266.5
124,20251023,57,5,,2,3796.83,10,6834.29
125,20240505,6,15,,3,843.99,0,2531.97
126,20250208,64,1,219,1,4068.92,0,4068.92
127,20240710,36,9,77,1,682.61,5,648.48
128,20240908,83,10,282,1,2689.64,0,2689.64
129,20250127,18,14,270,1,5185.3,20,4148.24
130,20250710,102,1,366,1,616.26,0,616.26
131,20250511,45,19,199,1,1364.28,0,1364.28
132,20250903,29,1,399,1,1567.62,10,1410.86
133,20250428,68,12,120,4,1648.1,0,6592.4
134,20251103,31,9,378,1,7243.85,20,5795.08
135,20240812,74,13,89,1,3249.83,5,3087.34
136,20251215,46,19,,2,4179.48,15,7105.12
137,20250731,19,19,253,1,3799.68,0,3799.68
138,20240208,12,2,113,1,1690.47,0,1690.47
139,20241205,118,20,67,1,5698.72,0,5698.72
140,20241127,8,1,361,3,3576.07,10,9655.39
141,20250622,111,12,192,2,1506.58,5,2862.5
142,20250823,13,11,70,4,4729.21,5,17971.0
143,20250323,102,21,333,1,616.26,5,585.45
144,20250729,89,20,115,1,4062.25,10,3656.03
145,20250122,40,24,66,1,6858.19,0,6858.19
146,20251219,74,13,395,3,3249.83,0,9749.49
147,20250908,41,20,290,1,5693.66,0,5693.66
148,20241205,96,3,164,1,3006.66,15,2555.66
149,20240331,106,23,374,2,717.87,0,1435.74
150,20240928,27,8,180,1,1220.37,0,1220.37
151,20240102,7,13,215,3,4794.43,15,12225.8
152,20250519,113,13,193,1,4385.13,0,4385.13
153,20250814,84,25,84,1,4822.61,10,4340.35
154,20240204,38,1,54,1,1729.74,0,1729.74
155,20250119,21,24,,3,1209.52,20,2902.85
156,20241212,77,20,361,1,5233.57,15,4448.53
157,20240617,78,14,52,1,1807.55,20,1446.04
158,20250223,90,18,374,1,3873.38,5,3679.71
159,20241031,31,4,,1,7243.85,10,6519.47
160,20240606,7,12,,1,4794.43,10,4314.99
161,20251002,77,16,14,1,5233.57,5,4971.89
162,20240324,61,4,204,1,5731.62,15,4871.88
163,20240928,12,21,95,1,1690.47,0,1690.47
164,20240710,58,2,239,1,5200.5,10,4680.45
165,20250731,8,5,342,1,3576.07,5,3397.27
166,20250708,53,25,284,1,1453.18,0,1453.18
167,20250619,54,18,244,1,2808.33,0,2808.33
168,20241102,11,13,366,1,5902.88,5,5607.74
169,20250613,103,19,318,1,5201.47,15,4421.25
170,20250404,23,6,99,1,5336.87,0,5336.87
171,20251130,56,7,322,1,7088.96,5,6734.51
172,20241123,117,24,35,1,5631.66,5,5350.08
173,20250719,42,9,7,2,2401.74,5,4563.31
174,20250619,101,14,77,1,1131.31,5,1074.74
175,20240412,119,4,52,2,2956.72,10,5322.1
176,20241218,113,14,336,1,4385.13,5,4165.87
177,20240208,23,9,317,1,5336.87,5,5070.03
178,20240209,51,11,26,2,2879.69,15,4895.47
179,20250116,3,11,156,1,2631.02,10,2367.92
180,20251213,88,4,117,1,2796.03,20,2236.82
181,20250329,100,11,214,1,4823.15,0,4823.15
182,20250328,28,14,389,1,3988.05,0,3988.05
183,20240227,66,6,,2,6204.11,0,12408.22
184,20250620,113,19,,1,4385.13,10,3946.62
185,20240229,32,2,185,2,1604.88,0,3209.76
186,20250420,65,13,64,1,3541.34,0,3541.34
187,20250515,77,15,243,1,5233.57,0,5233.57
188,20240616,108,9,353,1,3374.55,0,3374.55
189,20240220,21,19,110,2,1209.52,5,2298.09
190,20251124,27,9,263,1,1220.37,10,1098.33
191,20251129,2,16,332,1,882.35,10,794.12
192,20240817,33,20,157,2,2291.4,5,4353.66
193,20241008,55,13,236,1,735.67,0,735.67
194,20251124,67,20,53,1,4800.44,20,3840.35
195,20250118,72,21,145,1,1667.62,0,1667.62
196,20240306,44,9,142,1,4747.67,5,4510.29
197,20251029,39,7,392,1,3883.73,0,3883.73
198,20250906,52,22,72,2,2796.94,5,5314.19
199,20241029,34,14,378,1,1322.31,5,1256.19
200,20250808,105,7,366,1,2890.92,0,2890.92
201,20250502,117,22,154,2,5631.66,10,10136.99
202,20250725,24,10,,1,3205.37,0,3205.37
203,20250726,98,6,172,1,850.73,0,850.73
204,20240816,96,10,170,1,3006.66,5,2856.33
205,20250419,109,4,325,1,2954.88,15,2511.65
206,20240313,61,7,349,1,5731.62,0,5731.62
207,20240225,112,5,103,1,1434.74,20,1147.79
208,20250413,19,11,93,2,3799.68,0,7599.36
209,20251008,23,11,3,1,5336.87,0,5336.87
210,20240621,74,25,391,2,3249.83,0,6499.66
211,20250320,82,14,245,1,3179.41,0,3179.41
212,20240723,94,12,165,2,1460.17,0,2920.34
213,20240119,87,1,128,1,2952.23,15,2509.4
214,20241115,17,4,302,1,1735.19,0,1735.19
215,20240216,39,10,267,1,3883.73,0,3883.73
216,20251204,18,11,251,1,5185.3,0,5185.3
217,20250217,3,8,68,1,2631.02,0,2631.02
218,20250531,22,4,334,2,6438.69,0,12877.38
219,20251017,33,25,25,1,2291.4,0,2291.4
220,20240420,84,1,,1,4822.61,0,4822.61
221,20240506,71,9,79,1,3918.6,5,3722.67
222,20240110,39,14,340,1,3883.73,5,3689.54
223,20251218,18,14,54,1,5185.3,5,4926.03
224,20241016,15,4,312,1,4621.37,0,4621.37
225,20250619,26,12,152,1,1355.83,0,1355.83
226,20240731,89,16,2,1,4062.25,0,4062.25
227,20240423,107,19,77,3,1952.14,10,5270.78
228,20240317,93,24,132,1,4029.05,0,4029.05
229,20241030,34,15,,2,1322.31,15,2247.93
230,20241024,47,22,379,1,2706.69,10,2436.02
231,20240216,2,5,88,1,882.35,15,750.0
232,20250928,35,24,,2,3748.04,0,7496.08
233,20250214,52,15,198,1,2796.94,0,2796.94
234,20250307,84,6,357,2,4822.61,20,7716.18
235,20240612,14,14,248,2,4823.13,5,9163.95
236,20240704,79,13,314,1,1528.97,5,1452.52
237,20240513,62,16,211,1,978.5,0,978.5
238,20251101,41,1,348,1,5693.66,5,5408.98
239,20250801,29,22,266,1,1567.62,5,1489.24
240,20240407,56,22,247,1,7088.96,5,6734.51
241,20250129,20,18,314,1,1915.63,5,1819.85
242,20240609,65,16,85,1,3541.34,0,3541.34
243,20240903,43,9,,1,3747.63,5,3560.25
244,20250216,105,8,,1,2890.92,5,2746.37
245,20240331,110,16,61,4,3839.63,5,14590.59
246,20240119,14,13,286,1,4823.13,10,4340.82
247,20250910,80,21,261,1,5880.6,5,5586.57
248,20250412,44,12,115,2,4747.67,0,9495.34
249,20250926,77,16,187,2,5233.57,0,10467.14
250,20251105,29,1,325,3,1567.62,0,4702.86
251,20250618,48,23,85,1,2551.26,10,2296.13
252,20250223,14,9,97,1,4823.13,10,4340.82
253,20240808,59,7,56,2,2020.12,0,4040.24
254,20251010,108,22,396,2,3374.55,0,6749.1
255,20250826,65,5,3,1,3541.34,0,3541.34
256,20250319,108,19,261,2,3374.55,15,5736.74
257,20251209,75,6,66,1,2266.5,5,2153.17
258,20250912,113,11,197,1,4385.13,5,4165.87
259,20251210,98,8,176,4,850.73,0,3402.92
260,20240516,18,14,384,1,5185.3,10,4666.77
261,20250714,111,11,284,1,1506.58,0,1506.58
262,20251001,92,10,345,1,2008.22,5,1907.81
263,20240701,65,18,166,2,3541.34,10,6374.41
264,20250729,62,19,342,2,978.5,5,1859.15
265,20250630,37,14,268,1,3761.37,0,3761.37
266,20240224,86,2,385,2,4002.37,20,6403.79
267,20251130,33,5,354,2,2291.4,0,4582.8
268,20250708,5,12,53,1,2284.3,5,2170.09
269,20250729,111,8,288,1,1506.58,0,1506.58
270,20251213,37,23,196,1,3761.37,20,3009.1
271,20251202,41,18,,2,5693.66,0,11387.32
272,20250329,107,8,361,2,1952.14,0,3904.28
273,20250825,70,24,398,2,3349.78,0,6699.56
274,20250404,23,22,,3,5336.87,5,15210.08
275,20240502,49,2,285,1,3974.14,0,3974.14
276,20240918,1,11,80,1,1005.84,15,854.96
277,20250903,7,25,316,2,4794.43,0,9588.86
278,20250809,71,12,,2,3918.6,0,7837.2
279,20240707,67,3,82,1,4800.44,0,4800.44
280,20240404,45,8,340,1,1364.28,0,1364.28
281,20240811,97,20,288,2,4779.12,20,7646.59
282,20240110,15,22,124,3,4621.37,5,13170.9
283,20250928,32,2,165,1,1604.88,10,1444.39
284,20240426,50,9,145,1,3814.05,0,3814.05
285,20250118,66,17,23,1,6204.11,5,5893.9
286,20241124,66,3,86,4,6204.11,10,22334.8
287,20250630,1,21,,1,1005.84,10,905.26
288,20251202,55,4,360,2,735.67,5,1397.77
289,20250321,83,3,79,1,2689.64,5,2555.16
290,20240208,12,3,,2,1690.47,5,3211.89
291,20250811,106,8,209,1,717.87,5,681.98
292,20250319,41,1,61,1,5693.66,5,5408.98
293,20250925,9,25,24,2,4835.47,0,9670.94
294,20250529,14,10,155,1,4823.13,0,4823.13
295,20250324,49,13,16,1,3974.14,0,3974.14
296,20240519,96,13,280,1,3006.66,5,2856.33
297,20241101,87,24,6,1,2952.23,5,2804.62
298,20240506,6,1,202,1,843.99,15,717.39
299,20241108,27,24,372,1,1220.37,0,1220.37
300,20251023,109,17,95,1,2954.88,10,2659.39
301,20240717,15,6,291,2,4621.37,10,8318.47
302,20250716,60,21,149,1,4273.1,0,4273.1
303,20240721,93,19,170,1,4029.05,5,3827.6
304,20240828,13,10,100,1,4729.21,0,4729.21
305,20250923,85,10,79,1,6169.54,0,6169.54
306,20241119,55,6,,1,735.67,0,735.67
307,20251018,56,9,69,1,7088.96,0,7088.96
308,20250506,60,15,157,1,4273.1,0,4273.1
309,20251023,78,3,72,2,1807.55,0,3615.1
310,20251003,10,24,,1,3316.3,0,3316.3
311,20240201,105,19,394,1,2890.92,15,2457.28
312,20250718,34,18,277,1,1322.31,10,1190.08
313,20250109,51,8,302,2,2879.69,0,5759.38
314,20250420,65,17,,1,3541.34,0,3541.34
315,20240901,109,20,388,1,2954.88,0,2954.88
316,20240702,73,19,75,2,6348.65,0,12697.3
317,20250102,6,8,119,1,843.99,0,843.99
318,20240213,86,7,185,1,4002.37,15,3402.01
319,20240217,6,21,361,3,843.99,5,2405.37
320,20241007,107,24,279,1,1952.14,0,1952.14
321,20250122,47,19,40,1,2706.69,0,2706.69
322,20240816,67,13,177,1,4800.44,0,4800.44
323,20250910,1,17,226,1,1005.84,0,1005.84
324,20251020,36,7,81,1,682.61,5,648.48
325,20240501,85,8,170,2,6169.54,0,12339.08
326,20250505,62,7,332,2,978.5,0,1957.0
327,20240214,17,19,69,1,1735.19,0,1735.19
328,20250809,19,2,93,1,3799.68,0,3799.68
329,20250731,82,1,373,1,3179.41,0,3179.41
330,20240328,28,15,242,2,3988.05,0,7976.1
331,20250224,77,5,393,1,5233.57,5,4971.89
332,20240927,22,24,233,1,6438.69,0,6438.69
333,20250122,50,5,104,1,3814.05,15,3241.94
334,20251201,54,5,91,1,2808.33,5,2667.91
335,20240209,113,18,61,1,4385.13,5,4165.87
336,20250909,70,1,397,1,3349.78,0,3349.78
337,20250306,48,2,220,1,2551.26,10,2296.13
338,20250125,45,19,390,2,1364.28,5,2592.13
339,20250311,18,9,120,3,5185.3,0,15555.9
340,20250904,113,18,97,1,4385.13,5,4165.87
341,20240108,74,17,4,1,3249.83,0,3249.83
342,20241119,53,12,219,1,1453.18,0,1453.18
343,20250702,55,19,142,4,735.67,0,2942.68
344,20240727,53,18,248,1,1453.18,5,1380.52
345,20250510,33,10,397,2,2291.4,5,4353.66
346,20251106,16,24,359,3,4330.21,0,12990.63
347,20250604,52,11,315,1,2796.94,5,2657.09
348,20240613,50,21,,1,3814.05,0,3814.05
349,20250906,56,3,,1,7088.96,0,7088.96
350,20240208,93,13,206,1,4029.05,0,4029.05
351,20251229,77,2,90,1,5233.57,0,5233.57
352,20240725,109,22,266,1,2954.88,0,2954.88
353,20250905,66,17,315,1,6204.11,0,6204.11
354,20240901,84,1,45,4,4822.61,10,17361.4
355,20241227,86,13,103,1,4002.37,5,3802.25
356,20240311,118,3,372,2,5698.72,15,9687.82
357,20241222,45,9,100,1,1364.28,0,1364.28
358,20240105,34,6,55,1,1322.31,0,1322.31
359,20241214,15,17,276,2,4621.37,5,8780.6
360,20251211,57,13,395,1,3796.83,0,3796.83
361,20250414,88,15,15,1,2796.03,0,2796.03
362,20250126,82,8,118,2,3179.41,0,6358.82
363,20241227,67,18,,2,4800.44,0,9600.88
364,20240405,52,22,176,1,2796.94,15,2377.4
365,20250502,41,12,294,1,5693.66,15,4839.61
366,20251130,120,7,103,1,5078.17,0,5078.17
367,20240928,27,8,128,2,1220.37,0,2440.74
368,20240419,16,3,340,1,4330.21,0,4330.21
369,20250708,6,16,162,1,843.99,20,675.19
370,20250811,112,9,392,3,1434.74,0,4304.22
371,20240815,97,19,270,2,4779.12,0,9558.24
372,20250707,5,17,352,2,2284.3,0,4568.6
373,20240503,90,17,353,1,3873.38,5,3679.71
374,20250123,75,4,314,2,2266.5,0,4533.0
375,20240926,31,9,314,1,7243.85,0,7243.85
376,20250310,27,14,191,1,1220.37,0,1220.37
377,20250406,24,19,295,1,3205.37,10,2884.83
378,20241003,103,8,196,1,5201.47,10,4681.32
379,20240602,61,1,256,1,5731.62,15,4871.88
380,20251007,67,18,250,1,4800.44,5,4560.42
381,20250804,7,13,,1,4794.43,0,4794.43
382,20240917,61,21,,2,5731.62,0,11463.24
383,20250103,72,18,132,1,1667.62,0,1667.62
384,20241225,112,22,102,1,1434.74,5,1363.0
385,20250705,23,25,167,1,5336.87,0,5336.87
386,20250402,114,3,147,1,3973.22,20,3178.58
387,20240620,82,11,314,1,3179.41,10,2861.47
388,20240314,11,6,161,1,5902.88,0,5902.88
389,20240930,78,21,228,2,1807.55,15,3072.84
390,20250824,67,15,95,2,4800.44,0,9600.88
391,20240828,85,9,359,2,6169.54,0,12339.08
392,20250210,14,4,,2,4823.13,0,9646.26
393,20240127,99,13,43,1,4915.0,5,4669.25
394,20240327,84,13,127,2,4822.61,0,9645.22
395,20240509,17,17,15,1,1735.19,0,1735.19
396,20241129,111,16,277,3,1506.58,0,4519.74
397,20240518,90,18,306,1,3873.38,5,3679.71
398,20250731,56,17,274,1,7088.96,0,7088.96
399,20250706,30,3,188,1,3704.61,0,3704.61
400,20240111,1,17,70,1,1005.84,0,1005.84
401,20240109,89,16,245,1,4062.25,10,3656.03
402,20241026,77,8,281,1,5233.57,0,5233.57
403,20250728,56,13,367,2,7088.96,0,14177.92
404,20250122,29,9,,1,1567.62,0,1567.62
405,20250919,104,23,146,1,6527.04,0,6527.04
406,20241002,53,7,94,1,1453.18,0,1453.18
407,20250411,80,15,319,1,5880.6,0,5880.6
408,20240604,7,18,,4,4794.43,0,19177.72
409,20240508,92,15,120,1,2008.22,0,2008.22
410,20240810,44,14,256,4,4747.67,0,18990.68
411,20240202,43,3,75,1,3747.63,10,3372.87
412,20240314,70,16,129,2,3349.78,10,6029.6
413,20240504,99,23,395,4,4915.0,0,19660.0
414,20240204,26,15,49,1,1355.83,20,1084.66
415,20250429,50,22,166,1,3814.05,5,3623.35
416,20250716,67,4,327,1,4800.44,0,4800.44
417,20240223,111,22,58,1,1506.58,0,1506.58
418,20240116,22,9,203,2,6438.69,0,12877.38
419,20240213,75,23,306,1,2266.5,10,2039.85
420,20240911,21,16,,1,1209.52,15,1028.09
421,20251002,8,2,79,2,3576.07,10,6436.93
422,20240508,63,8,286,2,4196.34,10,7553.41
423,20250325,94,7,,1,1460.17,5,1387.16
424,20240913,116,2,225,1,6480.7,0,6480.7
425,20250516,25,19,179,1,659.99,0,659.99
426,20250905,118,18,272,1,5698.72,0,5698.72
427,20240926,70,12,398,1,3349.78,0,3349.78
428,20240708,114,1,187,2,3973.22,0,7946.44
429,20240305,85,18,98,1,6169.54,0,6169.54
430,20250718,20,20,210,1,1915.63,0,1915.63
431,20250619,85,3,,3,6169.54,0,18508.62
432,20240202,26,4,51,1,1355.83,5,1288.04
433,20250201,85,16,360,1,6169.54,0,6169.54
434,20240814,78,23,,3,1807.55,0,5422.65
435,20250518,119,3,328,1,2956.72,5,2808.88
436,20250301,106,12,30,2,717.87,0,1435.74
437,20240211,94,3,40,3,1460.17,20,3504.41
438,20240409,13,24,198,1,4729.21,0,4729.21
439,20240911,73,21,286,2,6348.65,0,12697.3
440,20240418,99,21,346,1,4915.0,5,4669.25
441,20240416,22,6,259,1,6438.69,0,6438.69
442,20250906,57,12,282,4,3796.83,0,15187.32
443,20250115,53,25,372,1,1453.18,0,1453.18
444,20250712,28,13,382,1,3988.05,20,3190.44
445,20250403,51,1,146,1,2879.69,0,2879.69
446,20241105,1,10,110,2,1005.84,0,2011.68
447,20251207,106,9,262,1,717.87,15,610.19
448,20240607,13,2,80,1,4729.21,0,4729.21
449,20250819,32,8,154,1,1604.88,0,1604.88
450,20240810,94,3,248,1,1460.17,10,1314.15
451,20251207,90,19,49,1,3873.38,0,3873.38
452,20250813,49,3,395,1,3974.14,15,3378.02
453,20250320,54,4,117,2,2808.33,10,5054.99
454,20240112,82,25,28,1,3179.41,0,3179.41
455,20250706,73,5,358,1,6348.65,0,6348.65
456,20250206,58,25,259,1,5200.5,0,5200.5
457,20250207,19,5,244,1,3799.68,0,3799.68
458,20250212,34,3,223,2,1322.31,0,2644.62
459,20240518,62,18,203,1,978.5,0,978.5
460,20250922,95,17,37,1,3960.41,0,3960.41
461,20251202,119,19,,1,2956.72,0,2956.72
462,20241222,25,11,336,1,659.99,0,659.99
463,20241224,79,15,226,1,1528.97,10,1376.07
464,20240723,88,12,373,2,2796.03,0,5592.06
465,20240225,32,20,148,1,1604.88,5,1524.64
466,20240423,40,15,170,1,6858.19,0,6858.19
467,20240727,70,17,281,1,3349.78,5,3182.29
468,20240524,89,23,193,1,4062.25,5,3859.14
469,20240214,33,6,,1,2291.4,5,2176.83
470,20241004,7,15,5,1,4794.43,5,4554.71
471,20251109,110,22,56,1,3839.63,10,3455.67
472,20251026,50,8,261,4,3814.05,0,15256.2
473,20241119,63,20,96,1,4196.34,20,3357.07
474,20250728,119,23,,1,2956.72,0,2956.72
475,20241207,63,13,10,1,4196.34,0,4196.34
476,20251002,39,8,257,1,3883.73,0,3883.73
477,20240920,113,13,16,3,4385.13,15,11182.08
478,20240818,20,11,337,1,1915.63,5,1819.85
479,20250617,87,20,352,1,2952.23,0,2952.23
480,20240605,55,10,169,1,735.67,0,735.67
481,20251030,18,19,104,2,5185.3,0,10370.6
482,20251223,116,17,221,4,6480.7,20,20738.24
483,20240528,84,19,163,1,4822.61,0,4822.61
484,20240501,24,11,75,2,3205.37,10,5769.67
485,20250227,53,10,327,3,1453.18,0,4359.54
486,20240711,14,5,391,4,4823.13,5,18327.89
487,20250912,73,20,119,1,6348.65,0,6348.65
488,20240322,89,25,258,2,4062.25,0,8124.5
489,20251027,48,6,252,1,2551.26,0,2551.26
490,20240819,5,14,8,3,2284.3,20,5482.32
491,20240815,96,22,388,1,3006.66,0,3006.66
492,20250325,111,20,167,2,1506.58,15,2561.19
493,20250313,52,25,,2,2796.94,0,5593.88
494,20241116,51,20,293,1,2879.69,0,2879.69
495,20251222,101,2,232,1,1131.31,15,961.61
496,20240908,67,18,377,1,4800.44,0,4800.44
497,20251007,7,7,204,2,4794.43,10,8629.97
498,20241019,60,6,314,3,4273.1,5,12178.34
499,20240525,60,21,370,1,4273.1,0,4273.1
500,20250822,115,23,202,1,2419.05,0,2419.05
501,20240702,59,19,104,2,2020.12,0,4040.24
502,20241127,89,21,84,2,4062.25,0,8124.5
503,20240426,91,15,44,1,6185.93,0,6185.93
504,20250607,79,6,195,1,1528.97,0,1528.97
505,20241209,73,22,84,2,6348.65,0,12697.3
506,20251230,7,14,374,2,4794.43,0,9588.86
507,20251003,24,4,104,1,3205.37,10,2884.83
508,20240113,59,16,279,2,2020.12,5,3838.23
509,20250520,31,7,244,1,7243.85,0,7243.85
510,20250907,77,1,281,1,5233.57,5,4971.89
511,20240731,7,6,335,1,4794.43,0,4794.43
512,20240203,86,19,153,1,4002.37,0,4002.37
513,20240421,54,6,146,1,2808.33,5,2667.91
514,20250901,74,18,234,2,3249.83,0,6499.66
515,20240206,12,25,189,2,1690.47,10,3042.85
516,20250313,108,18,,1,3374.55,0,3374.55
517,20241008,43,17,108,1,3747.63,5,3560.25
518,20240421,74,24,271,4,3249.83,0,12999.32
519,20251206,78,23,312,2,1807.55,0,3615.1
520,20250811,80,12,315,1,5880.6,0,5880.6
521,20251009,64,16,313,1,4068.92,0,4068.92
522,20240717,1,4,,1,1005.84,0,1005.84
523,20240731,103,20,212,1,5201.47,0,5201.47
524,20251014,28,1,354,1,3988.05,10,3589.25
525,20241111,39,17,393,1,3883.73,5,3689.54
526,20241215,51,24,15,2,2879.69,0,5759.38
527,20241212,119,22,243,2,2956.72,5,5617.77
528,20250508,20,21,275,2,1915.63,0,3831.26
529,20250227,119,24,,1,2956.72,5,2808.88
530,20251125,41,18,107,1,5693.66,0,5693.66
531,20241228,9,5,16,1,4835.47,0,4835.47
532,20250701,108,6,200,1,3374.55,0,3374.55
533,20241111,91,11,140,1,6185.93,0,6185.93
534,20240831,48,15,155,1,2551.26,0,2551.26
535,20240424,48,2,48,1,2551.26,0,2551.26
536,20250509,116,17,175,3,6480.7,5,18469.99
537,20250620,40,25,394,2,6858.19,10,12344.74
