Product_Id,Product_Name,Brand_Id,Category_Id,Gender,Size,Color,Unit_Cost,Unit_Price,Launch_Date
93,Puma Sneakers Navy Women,6,2,Women,7,Navy,2663.53,4029.05,2024-09-14
94,Liberty Flip Flops Red Men,10,5,Men,7,Red,1027.95,1460.17,2023-06-11
95,Campus Formal Shoes Black Kids,1,3,Kids,4,Black,2070.75,3960.41,2022-03-21
96,Bata Loafers Red Men,3,8,Men,4,Red,1802.07,3006.66,2023-04-21
97,Bata Running Shoes White Kids,3,1,Kids,11,White,2930.77,4779.12,2025-05-27
98,Sparx Running Shoes Red Women,2,1,Women,6,Red,572.58,850.73,2023-10-22
99,Red Chief Sports Sandals Olive Women,9,7,Women,10,Olive,3207.21,4915.0,2025-04-25
100,Liberty Sports Sandals White Kids,10,7,Kids,4,White,3332.29,4823.15,2024-12-09
101,Adidas Flip Flops Navy Men,4,5,Men,6,Navy,856.2,1131.31,2022-01-15
102,Campus Sports Sandals Red Unisex,1,7,Unisex,11,Red,404.45,616.26,2024-06-17
103,Nike Loafers Red Men,5,8,Men,7,Red,2821.05,5201.47,2024-04-30
104,Adidas Sports Sandals Grey Men,4,7,Men,7,Grey,3206.92,6527.04,2023-11-01
105,Sparx Running Shoes Red Women,2,1,Women,8,Red,1705.29,2890.92,2022-11-29
106,Nike Sports Sandals Olive Kids,5,7,Kids,11,Olive,557.41,717.87,2024-03-10
107,Woodland Boots White Kids,7,6,Kids,4,White,1032.56,1952.14,2022-05-20
108,Liberty Running Shoes Grey Kids,10,1,Kids,4,Grey,1805.6,3374.55,2023-06-27
109,Nike Formal Shoes White Unisex,5,3,Unisex,11,White,1804.03,2954.88,2023-07-20
110,Puma Sneakers Blue Women,6,2,Women,9,Blue,2519.76,3839.63,2025-04-04
111,Woodland Running Shoes Tan Unisex,7,1,Unisex,5,Tan,1107.68,1506.58,2024-12-28
112,Woodland Running Shoes Black Unisex,7,1,Unisex,10,Black,900.26,1434.74,2022-11-25
113,Skechers Loafers Red Men,8,8,Men,7,Red,2057.5,4385.13,2023-09-17
114,Skechers Loafers Navy Men,8,8,Men,4,Navy,2571.31,3973.22,2022-08-11
115,Campus Sports Sandals White Men,1,7,Men,7,White,1776.63,2419.05,2025-02-12
116,Bata Loafers Blue Kids,3,8,Kids,8,Blue,2971.12,6480.7,2024-12-21
117,Adidas Loafers Navy Women,4,8,Women,10,Navy,3249.98,5631.66,2023-01-08
118,Bata Sneakers Tan Kids,3,2,Kids,10,Tan,3289.59,5698.72,2024-03-07
119,Campus Flip Flops Grey Kids,1,5,Kids,11,Grey,1728.95,2956.72,2024-01-30
120,Puma Sports Sandals Navy Unisex,6,7,Unisex,9,Navy,3438.48,5078.17,2022-07-10
